City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hobart,20,AU,1659931831,69,-42.8794,147.3294,52.27,5.75
Souillac,9,MU,1659931861,78,-20.5167,57.5167,69.91,7.99
Hong Kong,60,HK,1659931842,89,22.2855,114.1577,84.38,5.99
Kanlagay,91,PH,1659931861,66,5.8757,121.2915,84.29,4.43
Vaini,20,TO,1659931861,94,-21.2,-175.2,78.96,9.22
Iqaluit,98,CA,1659931862,86,63.7506,-68.5145,41.7,1.99
Punta Arenas,20,CL,1659931856,87,-53.15,-70.9167,35.71,8.05
Carnarvon,0,AU,1659931792,58,-24.8667,113.6333,68.11,11.7
Yulara,5,AU,1659931862,20,-25.2406,130.9889,70.86,15.64
Mataura,7,NZ,1659931863,69,-46.1927,168.8643,42.48,9.44
Kapaa,99,US,1659931277,81,22.0752,-159.319,79.12,3.0
Sault Ste. Marie,0,CA,1659931759,82,46.5168,-84.3333,62.89,0.0
Bitung,100,ID,1659931688,75,1.4451,125.1824,85.05,2.98
Esperance,31,AU,1659931338,63,-33.8667,121.9,62.67,19.19
Rikitea,100,PF,1659931864,77,-23.1203,-134.9692,70.32,36.93
Ilulissat,100,GL,1659931864,93,69.2167,-51.1,42.82,0.0
Tanabi,97,BR,1659931864,48,-20.6264,-49.6492,70.09,6.31
Grand Gaube,3,MU,1659931865,74,-20.0064,57.6608,69.39,3.0
Bethel,0,US,1659931865,89,41.3712,-73.414,79.48,0.0
Severo-Kuril'sk,50,RU,1659931865,86,50.6789,156.125,59.52,1.16
Arman',95,RU,1659931313,59,59.7,150.1667,62.64,6.71
Amapá,60,BR,1659931866,99,1.0,-52.0,69.91,2.1
Jamestown,0,US,1659931774,68,42.097,-79.2353,76.59,8.05
Puerto Carreño,64,CO,1659931151,87,6.189,-67.4859,77.4,3.85
Puerto Ayora,41,EC,1659931867,96,-0.7393,-90.3518,67.55,7.0
Kavieng,27,PG,1659931325,74,-2.5744,150.7967,83.37,12.46
Cidreira,100,BR,1659931347,94,-30.1811,-50.2056,58.64,15.64
Bredasdorp,100,ZA,1659931867,88,-34.5322,20.0403,57.29,2.98
Port Alfred,88,ZA,1659931867,99,-33.5906,26.891,57.18,1.01
Atuona,16,PF,1659931591,75,-9.8,-139.0333,76.86,15.64
Clyde River,40,CA,1659931868,89,70.4692,-68.5914,38.77,0.94
Castro,100,BR,1659931708,96,-24.7911,-50.0119,56.25,6.78
Taoudenni,2,ML,1659931868,13,22.6783,-3.9836,97.02,8.7
Cape Town,0,ZA,1659931785,88,-33.9258,18.4232,56.26,4.0
Qaanaaq,7,GL,1659931870,54,77.484,-69.3632,36.97,7.58
Biak,77,ID,1659931870,77,-0.9131,122.8766,80.17,7.34
Butaritari,92,KI,1659931870,75,3.0707,172.7902,81.7,12.15
Lagoa,18,PT,1659931871,81,39.05,-27.9833,73.2,16.98
Palmas de Monte Alto,78,BR,1659931871,67,-14.2672,-43.1619,70.18,5.55
Petropavlovsk-Kamchatskiy,20,RU,1659931871,64,53.0452,158.6483,66.79,11.18
Kabarnet,93,KE,1659931872,80,0.4919,35.743,54.75,1.74
Pringsewu,27,ID,1659931872,59,-5.3582,104.9744,87.21,2.01
Saint Paul Harbor,0,US,1659931874,52,57.79,-152.4072,63.91,5.75
Srednekolymsk,74,RU,1659931874,31,67.45,153.6833,72.9,14.36
Hilo,40,US,1659931874,80,19.7297,-155.09,83.28,6.91
Voinka,0,UA,1659931875,46,45.8699,33.9914,77.02,10.78
Noyabrsk,93,RU,1659931875,62,63.1994,75.4507,68.95,7.81
Makakilo City,40,US,1659931876,61,21.3469,-158.0858,82.72,16.11
East London,75,ZA,1659931876,100,-33.0153,27.9116,58.14,33.38
Smithers,5,CA,1659931876,62,54.7804,-127.1743,61.25,5.46
Meulaboh,95,ID,1659931341,69,4.1363,96.1285,83.52,3.62
Voh,73,NC,1659931877,70,-20.9667,164.7,76.57,6.46
Albany,0,US,1659931692,88,42.6001,-73.9662,77.41,3.04
Marawi,94,PH,1659931372,66,7.9986,124.2928,79.74,6.62
Saint-Augustin,7,CA,1659931877,63,51.226,-58.6502,56.88,15.82
Northam,0,GB,1659931878,78,51.0333,-4.2167,56.39,2.39
Hithadhoo,100,MV,1659931878,70,-0.6,73.0833,81.3,1.74
Vangaindrano,1,MG,1659931878,91,-23.35,47.6,63.07,2.86
Port Blair,100,IN,1659931332,82,11.6667,92.75,81.73,21.65
Busselton,98,AU,1659931879,78,-33.65,115.3333,55.33,20.89
Lebu,84,CL,1659931879,88,-37.6167,-73.65,45.41,8.97
Hofn,56,IS,1659931325,87,64.2539,-15.2082,50.9,14.92
Bluff,17,NZ,1659931880,57,-46.6,168.3333,42.8,21.65
Khorramabad,0,IR,1659931880,27,33.4878,48.3558,88.79,2.1
Menongue,0,AO,1659931880,44,-14.6585,17.691,50.59,4.27
Acaraú,9,BR,1659931881,83,-2.8856,-40.12,76.96,16.64
Saint-Leu,6,RE,1659931883,75,-21.15,55.2833,72.32,8.66
Srīvardhan,100,IN,1659931693,93,18.0333,73.0167,78.37,9.44
Wenling,19,CN,1659931356,67,28.3669,121.36,88.34,10.94
Manyana,0,BW,1659931884,41,-23.4,21.7167,51.3,9.26
Avarua,75,CK,1659931884,68,-21.2078,-159.775,73.45,16.11
Upernavik,100,GL,1659931780,82,72.7868,-56.1549,41.58,3.65
Roald,100,NO,1659931342,82,62.5833,6.1333,59.16,9.22
Raudeberg,100,NO,1659931885,65,61.9875,5.1352,53.96,15.97
Ushuaia,20,AR,1659931788,75,-54.8,-68.3,33.46,4.61
Bengkulu,12,ID,1659931885,63,-3.8004,102.2655,85.14,7.2
Lanzhou,51,CN,1659931885,43,36.0564,103.7922,87.24,5.86
Saskylakh,100,RU,1659931666,54,71.9167,114.0833,58.41,9.8
Van Wert,100,US,1659931886,90,40.8695,-84.5841,77.94,5.75
South Sioux City,100,US,1659931886,81,42.4739,-96.4136,69.75,14.97
Ribeira Grande,18,PT,1659931887,81,38.5167,-28.7,74.52,15.19
Qaqortoq,28,GL,1659931887,80,60.7167,-46.0333,44.4,2.3
Codrington,8,AU,1659931887,55,-38.2667,141.9667,54.9,3.36
Necochea,11,AR,1659931888,86,-38.5473,-58.7368,39.06,6.91
Lodja,8,CD,1659931888,71,-3.4833,23.4333,69.4,1.7
San Patricio,93,US,1659931888,73,28.017,-97.5169,84.88,12.24
Talnakh,100,RU,1659931889,92,69.4865,88.3972,57.96,5.57
Bana,100,CM,1659931889,100,5.1481,10.2762,60.76,1.3
Leander,0,US,1659931764,65,30.5788,-97.8531,85.19,8.05
Colesberg,0,ZA,1659931890,79,-30.72,25.0972,44.26,12.95
Gävle,100,SE,1659931890,66,60.6745,17.1417,57.07,3.33
Saint George,0,US,1659931333,17,37.1041,-113.5841,95.95,10.36
Elliot,30,ZA,1659931890,62,-31.3333,27.85,46.44,6.76
Portland,20,US,1659931787,38,45.5234,-122.6762,90.1,8.05
Tuktoyaktuk,88,CA,1659931891,74,69.4541,-133.0374,47.14,8.7
Fairbanks,75,US,1659931882,74,64.8378,-147.7164,57.6,5.75
Hermanus,41,ZA,1659931781,84,-34.4187,19.2345,50.81,5.06
Ballina,0,AU,1659931769,55,-28.8667,153.5667,67.01,16.28
Susuman,7,RU,1659931892,32,62.7833,148.1667,74.25,12.88
Samarai,46,PG,1659931892,73,-10.6167,150.6667,81.12,12.73
Qui Nhon,100,VN,1659931892,85,13.7667,109.2333,77.85,8.68
Isla Vista,0,US,1659931893,66,34.4133,-119.861,79.99,6.91
Faya,27,SA,1659931893,71,18.3851,42.4509,63.12,2.44
Port Elizabeth,100,ZA,1659931649,99,-33.918,25.5701,59.09,11.5
Magadan,94,RU,1659931893,64,59.5667,150.8,69.53,6.87
Lorengau,92,PG,1659931894,73,-2.0226,147.2712,83.8,9.84
Geraldton,40,AU,1659931894,72,-28.7667,114.6,66.61,12.66
Marystown,100,CA,1659931894,100,47.1666,-55.1483,67.86,1.01
Santa Rosalía,8,MX,1659931895,74,27.3167,-112.2833,81.99,5.5
Khatanga,69,RU,1659931895,55,71.9667,102.5,61.41,9.42
Beringovskiy,63,RU,1659931824,50,63.05,179.3167,49.64,14.12
Hasaki,52,JP,1659931895,77,35.7333,140.8333,95.29,22.75
Lüderitz,14,NA,1659931896,69,-26.6481,15.1594,55.56,8.14
New Norfolk,3,AU,1659931896,42,-42.7826,147.0587,51.93,2.08
Marabba,100,SD,1659931896,91,12.35,32.1833,73.45,10.67
Troitskiy,94,RU,1659931897,66,57.0603,63.7481,71.49,3.8
Conde,0,BR,1659931897,94,-7.2597,-34.9075,69.26,6.91
Coaraci,25,BR,1659931897,98,-14.6408,-39.5511,61.39,1.66
Port Lincoln,0,AU,1659931676,55,-34.7333,135.8667,57.83,3.74
Salalah,100,OM,1659931898,96,17.0151,54.0924,75.47,8.72
Santa Cruz de la Sierra,100,BO,1659931761,94,-17.8,-63.1667,69.26,2.3
Cherskiy,44,RU,1659931298,47,68.75,161.3,52.5,6.49
Wanaka,74,NZ,1659931894,59,-44.7,169.15,39.11,5.99
Nuuk,75,GL,1659931898,100,64.1835,-51.7216,39.81,8.05
Rio Grande,100,BR,1659931899,80,-32.035,-52.0986,53.94,14.85
Tutóia,5,BR,1659931899,87,-2.7619,-42.2744,76.8,12.64
Chokurdakh,97,RU,1659931899,29,70.6333,147.9167,65.43,17.18
Zharkent,100,KZ,1659931900,32,44.1628,80.0,82.38,9.19
Zeya,100,RU,1659931900,98,53.75,127.2667,57.0,3.24
Nishihara,75,JP,1659931900,66,26.1842,127.7558,89.65,11.5
Joniškis,98,LT,1659931901,86,56.2403,23.6153,54.52,5.75
Thinadhoo,100,MV,1659931901,72,0.5333,72.9333,81.95,5.19
Nikolskoye,100,RU,1659931619,77,59.7035,30.7861,59.88,3.65
Nizhniy Ingash,4,RU,1659931901,46,56.2,96.53,73.6,2.51
Lukovetskiy,8,RU,1659931905,68,64.2956,41.9211,57.92,6.04
Fortuna,0,US,1659931906,83,40.5982,-124.1573,62.94,6.91
Lipari,6,IT,1659931906,72,38.4674,14.954,79.32,2.33
Berlevåg,75,NO,1659931907,87,70.8578,29.0864,50.0,23.02
Yar-Sale,0,RU,1659931907,48,66.8333,70.8333,78.12,11.14
Yellowknife,100,CA,1659931683,92,62.456,-114.3525,56.75,5.19
Grindavik,75,IS,1659931344,93,63.8424,-22.4338,48.67,17.27
Sept-Îles,15,CA,1659931895,62,50.2001,-66.3821,60.06,5.99
kimparana,6,ML,1659931908,85,12.8347,-4.9244,75.58,4.34
Mar del Plata,100,AR,1659931908,83,-38.0023,-57.5575,47.08,7.0
Kanniyākumāri,100,IN,1659931908,79,8.0833,77.5667,79.97,23.33
Chui,6,UY,1659931837,88,-33.6971,-53.4616,47.16,7.23
Gazli,0,UZ,1659931909,23,40.1333,63.45,87.12,10.07
Ushumun,100,RU,1659931909,92,52.7833,126.5333,54.23,10.09
Saldanha,50,ZA,1659931910,84,-33.0117,17.9442,56.32,10.8
Ponta do Sol,0,PT,1659931910,83,32.6667,-17.1,71.71,3.69
Coquimbo,0,CL,1659931910,76,-29.9533,-71.3436,51.53,5.75
Cabo San Lucas,88,MX,1659931814,76,22.8909,-109.9124,85.51,2.37
Kiryat Gat,0,IL,1659931740,69,31.61,34.7642,78.4,2.01
Nemšová,80,SK,1659931911,74,48.967,18.1189,61.72,3.65
Khandyga,100,RU,1659931358,68,62.6667,135.6,63.68,2.35
Narsaq,10,GL,1659931352,72,60.9167,-46.05,41.22,4.21
Mālpura,92,IN,1659931390,66,26.2833,75.3833,85.8,4.9
Aldan,100,RU,1659931912,81,58.6031,125.3894,54.99,8.84
Artigas,37,UY,1659931912,89,-30.4,-56.4667,48.94,13.51
Nanortalik,43,GL,1659931912,77,60.1432,-45.2371,44.83,3.0
Teknāf,100,BD,1659931913,87,20.8624,92.3058,81.34,12.91
Prince Rupert,22,CA,1659931811,86,54.3161,-130.3201,56.35,3.09
Watsa,100,CD,1659931913,98,3.0372,29.5355,61.68,2.1
Antofagasta,0,CL,1659931324,71,-23.65,-70.4,58.06,6.44
Tilichiki,97,RU,1659931913,61,60.4667,166.1,63.75,5.61
Khlung,100,TH,1659931914,100,12.4547,102.2214,81.95,8.16
Arraial do Cabo,98,BR,1659931914,88,-22.9661,-42.0278,70.12,4.88
General Roca,100,AR,1659931915,97,-39.0333,-67.5833,39.49,3.69
Dikson,100,RU,1659931915,100,73.5069,80.5464,41.94,4.36
Angoram,91,PG,1659931915,66,-4.0625,144.0661,86.52,6.2
Karaton,32,ID,1659931916,55,-6.3424,106.1045,87.08,1.63
São José da Coroa Grande,90,BR,1659931916,63,-8.8978,-35.1478,75.67,8.46
Karratha,5,AU,1659931916,17,-20.7377,116.8463,78.04,6.6
Laas,96,IT,1659931334,90,46.6166,10.7002,55.36,2.95
Vicuña,14,CL,1659931391,55,-30.0319,-70.7081,44.33,4.27
Tasiilaq,100,GL,1659931917,98,65.6145,-37.6368,41.16,5.37
Oruzgan,0,AF,1659931917,12,32.8333,66.0,83.77,5.26
Safi,0,MA,1659931918,88,32.2994,-9.2372,67.71,9.57
Merritt,0,CA,1659931918,44,50.1123,-120.7942,69.44,4.79
Torbay,90,CA,1659931918,90,47.6666,-52.7314,69.58,5.99
Snåase,44,NO,1659931919,88,64.2457,12.3778,45.14,1.61
San Juan,99,AR,1659931919,83,-31.5375,-68.5364,40.14,7.9
Horqueta,100,PY,1659931919,98,-23.3428,-57.0597,62.04,3.83
Lemon Tree Passage,71,AU,1659931920,82,-32.7327,152.036,64.11,5.01
Klaksvík,100,FO,1659931920,99,62.2266,-6.589,54.52,8.3
Alofi,75,NU,1659931920,78,-19.0595,-169.9187,78.69,10.36
Bourail,85,NC,1659931921,77,-21.5667,165.4833,73.9,8.66
Boloteşti,11,RO,1659931921,83,45.8333,27.0667,65.52,9.95
Provideniya,75,RU,1659931865,65,64.3833,-173.3,39.36,15.99
Miepherkeim,0,TR,1659931921,29,38.1419,41.0081,73.69,2.01
Taltal,1,CL,1659931922,58,-25.4,-70.4833,59.47,4.05
Bereda,20,ES,1659931643,100,43.2686,-7.5406,61.57,3.8
Lincoln,100,US,1659931798,83,40.8,-96.667,72.28,18.41
Hay River,82,CA,1659931657,71,60.8156,-115.7999,56.44,3.24
Ushibukamachi,67,JP,1659931923,73,32.1906,130.0228,85.26,7.9
Casablanca,34,MA,1659931923,81,33.5928,-7.6192,71.82,2.33
Baoning,7,CN,1659931923,57,25.3378,110.026,91.74,4.59
Genhe,24,CN,1659931924,31,50.7833,121.5167,68.99,15.37
Fengrun,98,CN,1659931924,56,39.8333,118.1167,79.77,9.82
Tanout,98,NE,1659931924,61,14.9709,8.8879,83.17,15.82
San Quintín,33,MX,1659931835,85,30.4833,-115.95,72.82,5.23
Ranong,100,TH,1659931925,81,9.9658,98.6348,81.52,11.97
Lompoc,0,US,1659931925,83,34.6391,-120.4579,64.78,9.22
West Wendover,0,US,1659931925,60,40.7391,-114.0733,74.41,3.44
Thompson,75,CA,1659931926,82,55.7435,-97.8558,64.56,5.75
Muhafazat Lahij,41,YE,1659931926,67,13.1667,44.5833,83.62,4.54
Husavik,17,IS,1659931713,83,66.0449,-17.3389,48.24,13.2
George Town,20,MY,1659931903,66,5.4112,100.3354,87.73,11.5
Alice Springs,3,AU,1659931339,20,-23.7,133.8833,71.22,13.8
Mahébourg,10,MU,1659931927,75,-20.4081,57.7,69.26,8.86
Melbourne,0,US,1659931877,84,28.0836,-80.6081,83.01,10.36
Nicoya,99,CR,1659931927,92,10.1483,-85.452,74.8,0.13
Monchique,0,PT,1659931928,94,37.3177,-8.5553,61.14,3.04
Diu,100,IN,1659931928,80,20.7141,70.9822,83.08,3.76
Chumikan,100,RU,1659931928,96,54.7183,135.315,53.01,19.3
Bestöbe,61,KZ,1659931357,58,52.4994,73.0975,69.42,13.4
Nome,100,US,1659931928,81,64.5011,-165.4064,50.07,14.97
La Santisima Trinidad,94,BO,1659931929,98,-14.8333,-64.9,70.29,1.25
Olafsvik,89,IS,1659931387,81,64.8945,-23.7142,50.52,25.23
São João da Barra,66,BR,1659931365,90,-21.6403,-41.0511,71.91,8.95
Dakar,100,SN,1659931757,85,14.6937,-17.4441,81.48,5.82
Tiznit Province,0,MA,1659931929,42,29.5833,-9.5,72.84,3.67
Yerbogachën,100,RU,1659931371,77,61.2767,108.0108,54.72,7.99
Kununurra,40,AU,1659931865,40,-15.7667,128.7333,91.38,10.36
Truckee,0,US,1659931873,43,39.328,-120.1833,80.17,0.0
Alanya,35,TR,1659931930,77,36.5438,31.9998,82.53,4.34
Okhotsk,100,RU,1659931930,84,59.3833,143.3,55.63,18.81
Āreka,96,ET,1659931931,89,7.0667,37.7,61.07,1.19
Barrow,100,US,1659931931,76,71.2906,-156.7887,44.62,21.85
Teykovo,100,RU,1659931931,96,56.858,40.5369,59.94,4.9
Rincon,40,US,1659931932,90,32.296,-81.2354,81.86,3.44
Entre Rios,0,BR,1659931932,91,-11.9419,-38.0844,64.33,3.56
Airai,41,TL,1659931932,45,-8.9266,125.4092,75.22,5.7
Harper,47,LR,1659931353,81,4.375,-7.7169,72.64,9.01
Usol'ye,68,RU,1659931933,61,59.4268,56.6808,73.0,1.36
Impfondo,68,CG,1659931933,97,1.6381,18.0667,70.23,1.32
Padang,20,ID,1659931934,66,-0.9492,100.3543,86.05,4.61
Kyaikto,100,MM,1659931792,95,17.3,97.0167,75.51,1.66
Chateaubelair,9,VC,1659931934,84,13.2833,-61.25,79.36,11.72
Lisburn,78,GB,1659931934,89,54.5234,-6.0353,55.02,4.61
Longyearbyen,75,SJ,1659931935,87,78.2186,15.6401,46.24,8.05
Linxia Chengguanzhen,64,CN,1659931935,45,35.6003,103.2064,84.07,6.06
Sinnamary,97,GF,1659931935,77,5.3833,-52.95,79.48,9.28
Norman Wells,100,CA,1659931936,90,65.282,-126.8329,53.82,7.72
Kaitangata,37,NZ,1659931661,58,-46.2817,169.8464,42.48,12.91
Svetlaya,100,RU,1659931933,94,46.5389,138.3297,71.02,4.03
Bilibino,56,RU,1659931936,41,68.0546,166.4372,54.23,6.08
Inhambane,2,MZ,1659931382,83,-23.865,35.3833,67.8,9.51
Maragogi,73,BR,1659931937,63,-9.0122,-35.2225,75.18,8.7
Hailey,0,US,1659931808,44,43.5196,-114.3153,68.88,1.01
Vila Franca do Campo,77,PT,1659931937,87,37.7167,-25.4333,70.21,4.81
Esso,35,RU,1659931938,52,55.9333,158.7,77.4,4.45
Uvarovo,7,RU,1659931938,41,51.9849,42.2615,73.0,3.29
Rudnogorsk,52,RU,1659931943,75,57.2639,103.7519,64.38,4.76
Veere,26,NL,1659931943,88,51.5483,3.6667,59.0,5.75
Cayenne,0,GF,1659931689,1,4.9333,-52.3333,80.1,0.0
Saint-Philippe,0,RE,1659931943,79,-21.3585,55.7679,69.39,5.53
Coyhaique,100,CL,1659931787,87,-45.5752,-72.0662,36.21,3.44
Tomari,100,RU,1659931944,97,47.7658,142.0683,67.77,8.66
Dandong,100,CN,1659931944,73,40.1292,124.3947,84.38,11.45
Qasigiannguit,100,GL,1659931382,97,68.8193,-51.1922,43.05,3.02
Ayan,100,RU,1659931363,95,56.45,138.1667,54.73,25.46
Bambanglipuro,79,ID,1659931945,68,-7.95,110.2833,81.46,10.67
Saint-Pierre,75,RE,1659931945,67,-21.3393,55.4781,72.91,6.91
Sitka,100,US,1659931945,82,57.0531,-135.33,57.09,8.05
Oranjestad,9,AW,1659931946,87,12.524,-70.027,81.0,20.92
San Cristobal,95,VE,1659931946,97,7.7669,-72.225,71.78,2.44
Bodden Town,14,KY,1659931946,81,19.2833,-81.25,83.93,3.0
Bambous Virieux,16,MU,1659931932,75,-20.3428,57.7575,69.22,9.06
Korla,1,CN,1659931947,19,41.7597,86.1469,93.7,6.15
Constitución,0,CL,1659931947,87,-35.3333,-72.4167,46.04,7.74
Turaif,8,SA,1659931947,30,31.6725,38.6637,81.05,11.52
Hualmay,43,PE,1659931779,85,-11.0964,-77.6139,60.93,9.04
Tumaco,63,CO,1659931770,86,1.7986,-78.8156,76.06,5.44
Flinders,43,AU,1659931836,67,-34.5833,150.8552,60.06,14.88
Shenzhen,43,CN,1659931718,99,22.5455,114.0683,84.27,11.01
Panzhihua,91,CN,1659931937,63,26.5851,101.7128,84.2,1.05
Armidale,14,AU,1659931948,45,-30.5167,151.65,54.05,5.95
Ginda,100,IN,1659931949,69,30.6945,78.4932,72.84,1.52
Norfolk,0,US,1659931949,86,42.1668,-71.2495,80.28,6.91
Sur,60,OM,1659931949,54,22.5667,59.5289,90.54,5.61
Batemans Bay,18,AU,1659931950,54,-35.7167,150.1833,57.09,8.43
